,Gender,Year,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,Total
8,ALL,2006,217,880,1641,2399,3342,4442,5538,6492,6937,6804,5544,1731,45967
11,ALL,2007,160,754,1632,2605,3607,4971,6179,7048,7538,7223,5686,1569,48972
14,ALL,2008,168,972,2009,2877,3886,5101,6409,7442,8024,8092,6993,2755,54728
17,ALL,2009,196,846,1989,3098,4355,5699,7040,8243,8849,8850,7503,2583,59251
20,ALL,2010,279,1236,2531,3677,4969,6361,7805,8925,9438,9330,7788,2610,64949
5,ALL,2015,2685,12069,21927,33460,44581,54770,64913,74115,79157,79555,48658,5350,521240
2,ALL,2016,141,4645,10975,17216,23745,32207,44792,61026,80951,112135,149929,33399,571161
