,Gender,Year,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,E,Total
6,MALE,2006,148,638,1195,1627,2108,2569,2984,3299,3418,3291,2635,834,24746
9,MALE,2007,110,563,1159,1761,2268,2871,3314,3609,3721,3493,2762,779,26410
12,MALE,2008,102,698,1413,1957,2469,2972,3463,3824,3981,3942,3400,1379,29600
15,MALE,2009,138,628,1436,2124,2783,3311,3824,4247,4402,4336,3606,1257,32092
18,MALE,2010,182,892,1787,2458,3094,3639,4168,4536,4704,4561,3776,1306,35103
3,MALE,2015,2024,7952,13517,19826,25312,29556,33437,37482,40181,40442,25531,3127,278387
1,MALE,2016,83,1960,4394,7012,10096,14969,21832,30047,39319,54648,72211,15322,271893
